scenario,runIndex,seed,generator,numOfStates,numOfCalls,numOfLocals,numOfReturns,numOfStackSymbols,density,acceptingStatesDensity,numOfModules,secondDvpaNumOfStates,useSrs,useEquivalenceCheckToValidateOutput,equivalenceQueryCount,equivalenceQueryHypothesisStatesTotal,equivalenceQueryTimeUs,equivalenceQueryTargetMembershipQueryCount,equivalenceQueryTargetMembershipQuerySymbolsTotal,membershipQueryCount,membershipQuerySymbolsTotal,membershipQueryTimeUs,stackContentQueryCount,stackContentQuerySymbolsTotal,stackContentQueryTimeUs,srsCheckCount,srsCheckTimeUs,srsCounterexampleCount,automataGeneratedCount,automataGenerationTimeUs,learnerTimeUs,outputValidationTimeUs,status,targetNumOfStates,targetAcceptingStates,hypothesisNumOfStates,hypothesisAcceptingStates
commutation-srs-mixed,1,2,commutative,24,5,7,5,4,0.8,0.3,5,6,1,0,1,25,5221948,0,0,159036,1155617,545,123534,974635,431,10,491560,9,10,113425,5827715,0,passed,24,12,25,12
commutation-srs-mixed,2,3,commutative,20,5,7,5,4,0.8,0.3,5,5,1,0,3,40,4254815,0,0,157898,852346,397,118655,671504,589,12,1545222,9,12,96813,5897585,0,passed,20,8,21,8
commutation-srs-mixed,3,4,commutative,20,5,7,5,4,0.8,0.3,5,5,1,0,2,23,507550,0,0,79317,498371,41,53413,357304,24,8,755555,6,8,33799,1297231,0,passed,20,12,21,12
commutation-srs-mixed,4,5,commutative,25,5,7,5,4,0.8,0.3,5,5,1,0,4,67,17629242,0,0,173409,908703,119,130169,700711,125,11,1948336,7,11,92176,19670446,0,passed,25,23,26,23
commutation-srs-mixed,5,6,commutative,24,5,7,5,4,0.8,0.3,5,6,1,0,2,50,23137027,0,0,164551,1089413,60,123092,877373,65,10,658408,8,10,75440,23871418,0,passed,24,18,25,18
commutation-srs-mixed,6,7,commutative,30,5,7,5,4,0.8,0.3,5,6,1,0,4,96,157352763,0,0,323333,2649092,729,233306,2041848,530,12,1905432,8,12,214642,159474072,0,passed,30,10,31,10
commutation-srs-mixed,7,8,commutative,25,5,7,5,4,0.8,0.3,5,5,1,0,5,106,56045443,0,0,247800,1168333,243,198600,974123,126,13,1839816,8,13,119304,58005418,0,passed,25,9,26,9
commutation-srs-mixed,8,9,commutative,20,5,7,5,4,0.8,0.3,5,5,1,0,2,41,5626451,0,0,78625,872419,28,58503,703367,45,8,600103,6,8,39551,6266567,0,passed,20,8,21,8
commutation-srs-mixed,9,10,commutative,30,5,7,5,4,0.8,0.3,5,6,1,0,1,31,35600753,0,0,384684,2332752,162,275050,1780135,152,14,809397,13,14,175508,36586392,0,passed,30,14,31,14
commutation-srs-mixed,10,11,commutative,30,5,7,5,4,0.8,0.3,5,6,1,0,1,31,38391738,0,0,400849,2966635,276,303920,2387785,313,13,944164,12,13,218335,39555194,0,passed,30,14,31,14
commutation-srs-mixed,11,12,commutative,25,5,7,5,4,0.8,0.3,5,5,1,0,3,72,25406668,0,0,127401,904757,190,87802,658299,163,8,1055099,5,8,69948,26532532,0,passed,25,9,26,9
commutation-srs-mixed,12,13,commutative,20,5,7,5,4,0.8,0.3,5,5,1,0,4,77,12988536,0,0,141194,791523,128,111306,657252,123,11,1853600,7,11,76609,14919531,0,passed,20,11,21,11
commutation-srs-mixed,13,14,commutative,30,5,7,5,4,0.8,0.3,5,6,1,0,4,117,74685122,0,0,292741,1676355,173,239308,1443704,174,12,1658597,8,12,152621,76497135,0,passed,30,24,31,24
commutation-srs-mixed,14,15,commutative,20,5,7,5,4,0.8,0.3,5,5,1,0,1,16,421718,0,0,50650,266446,59,36813,201105,29,7,505553,6,7,32494,960117,0,passed,20,16,16,11
commutation-srs-mixed,15,16,commutative,30,5,7,5,4,0.8,0.3,5,6,1,0,1,31,22414181,0,0,553708,3551481,231,433699,2940849,184,18,1625035,17,18,267818,24308177,0,passed,30,14,31,14
commutation-srs-mixed,16,17,commutative,30,5,7,5,4,0.8,0.3,5,6,1,0,2,61,83651018,0,0,314089,1765448,692,225349,1319495,456,12,1178410,10,12,201756,85032163,0,passed,30,18,31,18
commutation-srs-mixed,17,18,commutative,24,5,7,5,4,0.8,0.3,5,6,1,0,1,25,2785456,0,0,146013,773379,153,103170,591847,46,9,516978,8,9,66599,3369362,0,passed,24,16,25,16
