scenario,runIndex,seed,generator,numOfStates,numOfCalls,numOfLocals,numOfReturns,numOfStackSymbols,density,acceptingStatesDensity,numOfModules,secondDvpaNumOfStates,useSrs,useEquivalenceCheckToValidateOutput,equivalenceQueryCount,equivalenceQueryHypothesisStatesTotal,equivalenceQueryTimeUs,equivalenceQueryTargetMembershipQueryCount,equivalenceQueryTargetMembershipQuerySymbolsTotal,membershipQueryCount,membershipQuerySymbolsTotal,membershipQueryTimeUs,stackContentQueryCount,stackContentQuerySymbolsTotal,stackContentQueryTimeUs,srsCheckCount,srsCheckTimeUs,srsCounterexampleCount,automataGeneratedCount,automataGenerationTimeUs,learnerTimeUs,outputValidationTimeUs,status,targetNumOfStates,targetAcceptingStates,hypothesisNumOfStates,hypothesisAcceptingStates
cancellation-srs-mixed,32,33,cancellation,20,4,3,4,6,0.8,0.3,5,2,0,0,17,229,14265943,0,0,513047,2830654,1016,446550,2510809,865,0,0,0,17,336018,14603503,0,passed,20,3,21,3
cancellation-srs-mixed,33,34,cancellation,22,4,3,4,6,0.8,0.3,5,2,0,0,14,188,17767573,0,0,435039,2062629,964,338482,1629288,844,0,0,0,14,276381,18045007,0,passed,22,5,23,5
cancellation-srs-mixed,34,35,cancellation,22,4,3,4,6,0.8,0.3,5,2,0,0,12,155,18530855,0,0,153325,652008,228,121917,538745,311,0,0,0,12,96870,18628714,0,passed,22,5,23,5
cancellation-srs-mixed,35,36,cancellation,22,4,3,4,6,0.8,0.3,5,2,0,0,14,198,18642861,0,0,290151,1480929,494,219093,1136432,424,0,0,0,14,185040,18829028,0,passed,22,5,23,5
cancellation-srs-mixed,36,37,cancellation,26,4,3,4,6,0.8,0.3,5,2,0,0,14,239,37946007,0,0,315295,1419663,318,243244,1132757,363,0,0,0,14,171373,38118637,0,passed,26,7,27,7
cancellation-srs-mixed,37,38,cancellation,22,4,3,4,6,0.8,0.3,5,2,0,0,19,266,28442742,0,0,653553,3089779,1030,525498,2542566,1159,0,0,0,19,428950,28873413,0,passed,22,4,23,4
cancellation-srs-mixed,38,39,cancellation,22,4,3,4,6,0.8,0.3,5,2,0,0,16,210,18771369,0,0,417757,1888853,688,314172,1466963,599,0,0,0,16,258292,19031066,0,passed,22,5,23,5
cancellation-srs-mixed,39,40,cancellation,24,4,3,4,6,0.8,0.3,5,2,0,0,16,216,34509309,0,0,334055,1551647,555,253795,1213044,330,0,0,0,16,204839,34715588,0,passed,24,9,25,9
cancellation-srs-mixed,40,41,cancellation,20,4,3,4,6,0.8,0.3,5,2,0,0,16,215,10732217,0,0,381863,1647840,718,289881,1287241,694,0,0,0,16,229269,10962713,0,passed,20,4,21,4
cancellation-srs-mixed,41,42,cancellation,24,4,3,4,6,0.8,0.3,5,2,0,0,16,211,36463063,0,0,387257,1820832,719,303238,1469714,843,0,0,0,16,235853,36700318,0,passed,24,5,25,5
cancellation-srs-mixed,42,43,cancellation,20,4,3,4,6,0.8,0.3,5,2,0,0,19,258,15775149,0,0,847984,4777688,1479,713661,4064654,1205,0,0,0,19,553385,16330432,0,passed,20,3,20,3
cancellation-srs-mixed,43,44,cancellation,20,4,3,4,6,0.8,0.3,5,2,0,0,13,160,10175296,0,0,198413,957091,312,151767,761942,264,0,0,0,13,126297,10302650,0,passed,20,4,21,4
